%CPU     %MEM    
0.0      0.0     
 0.1  0.0
%CPU     %MEM    
0.0      0.1     
 0.2  0.0
%CPU     %MEM    
0.0      0.1     
 0.3  0.1
%CPU     %MEM    
0.0      0.1     
 0.2  0.1
%CPU     %MEM    
0.0      0.4     
 0.8  0.4
%CPU     %MEM    
6.7      0.5     
 1.0  0.5
%CPU     %MEM    
0.0      0.5     
 1.0  0.5
%CPU     %MEM    
0.0      0.5     
 0.9  0.5
%CPU     %MEM    
0.0      0.5     
 0.9  0.5
%CPU     %MEM    
0.0      0.5     
 1.0  0.5
%CPU     %MEM    
20.0     0.6     
 1.2  0.6
%CPU     %MEM    
0.0      0.7     
 1.3  0.6
%CPU     %MEM    
0.0      0.7     
 1.4  0.6
%CPU     %MEM    
0.0      0.8     
 1.4  0.7
%CPU     %MEM    
13.3     0.9     
 1.7  0.9
%CPU     %MEM    
6.7      1.0     
 1.9  1.0
%CPU     %MEM    
0.0      1.1     
 2.2  1.0
%CPU     %MEM    
40.0     1.1     
 2.5  1.1
%CPU     %MEM    
0.0      1.2     
 2.6  1.1
%CPU     %MEM    
0.0      1.2     
 2.7  1.1
%CPU     %MEM    
0.0      1.2     
 2.7  1.1
%CPU     %MEM    
0.0      1.2     
 2.6  1.1
%CPU     %MEM    
6.7      1.2     
 2.7  1.1
%CPU     %MEM    
12.5     1.2     
 2.8  1.1
%CPU     %MEM    
0.0      1.2     
 2.8  1.1
%CPU     %MEM    
0.0      1.2     
 2.9  1.1
%CPU     %MEM    
0.0      1.2     
 3.1  1.2
%CPU     %MEM    
0.0      1.2     
 3.1  1.2
%CPU     %MEM    
13.3     1.3     
 3.1  1.2
%CPU     %MEM    
6.7      1.3     
 3.2  1.2
%CPU     %MEM    
0.0      1.3     
 3.4  1.2
%CPU     %MEM    
6.7      1.3     
 3.5  1.2
%CPU     %MEM    
0.0      1.3     
 3.4  1.2
%CPU     %MEM    
0.0      1.3     
 3.4  1.2
%CPU     %MEM    
6.7      1.3     
 3.4  1.2
%CPU     %MEM    
0.0      1.3     
 3.5  1.2
%CPU     %MEM    
0.0      1.4     
 3.6  1.4
%CPU     %MEM    
20.0     1.4     
 3.8  1.4
%CPU     %MEM    
60.0     1.4     
 4.0  1.4
%CPU     %MEM    
6.7      1.4     
 3.9  1.4
%CPU     %MEM    
0.0      1.4     
 4.0  1.4
%CPU     %MEM    
0.0      1.5     
 4.0  1.5
%CPU     %MEM    
6.7      1.5     
 4.1  1.5
%CPU     %MEM    
6.7      1.5     
 4.2  1.5
%CPU     %MEM    
0.0      1.5     
 4.2  1.5
%CPU     %MEM    
6.2      1.5     
 4.2  1.5
%CPU     %MEM    
0.0      1.5     
 4.2  1.5
%CPU     %MEM    
0.0      1.5     
 4.3  1.5
%CPU     %MEM    
0.0      1.5     
 4.3  1.5
%CPU     %MEM    
0.0      1.5     
 4.3  1.5
%CPU     %MEM    
0.0      1.5     
 4.3  1.5
%CPU     %MEM    
0.0      1.7     
 4.4  1.7
%CPU     %MEM    
33.3     1.8     
 4.6  1.8
%CPU     %MEM    
66.7     1.8     
 4.8  1.8
%CPU     %MEM    
0.0      1.8     
 4.8  1.8
%CPU     %MEM    
0.0      1.8     
 4.9  1.8
%CPU     %MEM    
0.0      1.8     
 5.0  1.8
%CPU     %MEM    
6.7      1.8     
 5.0  1.8
%CPU     %MEM    
6.7      1.9     
 5.0  1.8
%CPU     %MEM    
0.0      1.9     
 5.0  1.8
%CPU     %MEM    
0.0      1.9     
 5.0  1.8
%CPU     %MEM    
26.7     1.9     
 5.1  1.8
%CPU     %MEM    
0.0      1.9     
 5.0  1.8
%CPU     %MEM    
0.0      1.9     
 4.9  1.8
%CPU     %MEM    
0.0      1.9     
 4.9  1.8
%CPU     %MEM    
13.3     1.9     
 4.8  1.8
%CPU     %MEM    
0.0      1.9     
 4.9  1.8
%CPU     %MEM    
0.0      1.9     
 4.8  1.8
%CPU     %MEM    
0.0      1.9     
 4.7  1.8
%CPU     %MEM    
0.0      1.9     
 4.7  1.9
%CPU     %MEM    
0.0      2.0     
 4.7  1.9
%CPU     %MEM    
6.7      2.0     
 4.7  1.9
%CPU     %MEM    
0.0      2.0     
 4.7  1.9
%CPU     %MEM    
0.0      2.0     
 4.7  1.9
%CPU     %MEM    
0.0      2.0     
 4.6  1.9
%CPU     %MEM    
0.0      2.0     
 4.6  1.9
%CPU     %MEM    
6.7      2.0     
 4.6  1.9
%CPU     %MEM    
13.3     2.0     
 4.6  1.9
%CPU     %MEM    
0.0      2.0     
 4.6  1.9
%CPU     %MEM    
0.0      2.0     
 4.5  1.9
%CPU     %MEM    
0.0      2.0     
 4.5  1.9
%CPU     %MEM    
0.0      2.0     
 4.5  1.9
%CPU     %MEM    
0.0      2.0     
 4.5  1.9
%CPU     %MEM    
6.7      2.0     
 4.4  1.9
%CPU     %MEM    
0.0      2.0     
 4.4  1.9
%CPU     %MEM    
0.0      2.0     
 4.4  1.9
%CPU     %MEM    
0.0      2.0     
 4.4  1.9
%CPU     %MEM    
6.7      2.0     
 4.4  1.9
%CPU     %MEM    
0.0      2.0     
 4.4  1.9
%CPU     %MEM    
6.7      2.0     
 4.5  1.9
%CPU     %MEM    
33.3     2.0     
 4.4  1.9
%CPU     %MEM    
0.0      2.0     
 4.4  1.9
%CPU     %MEM    
0.0      2.0     
 4.4  1.9
%CPU     %MEM    
0.0      2.0     
 4.4  1.9
%CPU     %MEM    
0.0      2.0     
 4.4  1.9
%CPU     %MEM    
0.0      2.0     
 4.4  1.9
%CPU     %MEM    
6.7      2.0     
 4.4  1.9
%CPU     %MEM    
6.7      2.0     
 4.3  1.9
%CPU     %MEM    
0.0      2.0     
 4.3  1.9
%CPU     %MEM    
0.0      2.0     
 4.3  1.9
%CPU     %MEM    
6.7      2.0     
 4.3  1.9
%CPU     %MEM    
6.7      2.0     
 4.3  1.9
%CPU     %MEM    
0.0      2.0     
 4.3  1.9
%CPU     %MEM    
0.0      2.0     
 4.2  1.9
%CPU     %MEM    
0.0      2.0     
 4.2  1.9
%CPU     %MEM    
6.7      2.0     
 4.2  1.9
%CPU     %MEM    
0.0      2.0     
 4.2  1.9
%CPU     %MEM    
0.0      2.0     
 4.2  1.9
%CPU     %MEM    
0.0      2.0     
 4.2  1.9
%CPU     %MEM    
0.0      2.0     
 4.2  1.9
%CPU     %MEM    
0.0      2.0     
 4.1  1.9
%CPU     %MEM    
0.0      2.0     
 4.1  1.9
%CPU     %MEM    
0.0      2.0     
 4.1  1.9
%CPU     %MEM    
0.0      2.0     
 4.1  1.9
%CPU     %MEM    
0.0      2.0     
 4.0  1.9
%CPU     %MEM    
0.0      2.0     
 4.0  1.9
%CPU     %MEM    
0.0      2.0     
 4.0  1.9
%CPU     %MEM    
0.0      2.0     
 3.9  1.9
%CPU     %MEM    
6.7      2.0     
 3.9  1.9
%CPU     %MEM    
0.0      2.0     
 3.9  1.9
%CPU     %MEM    
0.0      2.0     
 3.9  1.9
%CPU     %MEM    
0.0      2.0     
 3.8  1.9
%CPU     %MEM    
0.0      2.0     
 3.8  1.9
%CPU     %MEM    
13.3     2.0     
 3.8  1.9
%CPU     %MEM    
0.0      2.0     
 3.9  1.9
%CPU     %MEM    
0.0      2.0     
 3.9  1.9
%CPU     %MEM    
0.0      2.0     
 3.8  1.9
%CPU     %MEM    
%CPU     %MEM    
0.0      0.0     
 0.0  0.0
%CPU     %MEM    
0.0      0.0     
 0.0  0.0
%CPU     %MEM    
0.0      0.0     
 0.0  0.0
%CPU     %MEM    
0.0      0.0     
 0.0  0.0
%CPU     %MEM    
0.0      0.0     
 0.0  0.0
