PSR %CPU
  0  0.0
  0  0.0
  1  0.0
  3  0.0
  0  0.0
  3  0.0
  2  0.0
  0  0.0
  1  0.0
PSR %CPU
  0  0.0
  2  0.0
  2  0.0
  3  0.0
  1  0.0
  0  0.0
  3  0.0
  1  0.0
  3  0.0
PSR %CPU
  0  0.0
  2  0.0
  2  0.0
  3  0.0
  0  0.0
  1  0.0
  3  0.0
  1  0.0
  3  0.0
PSR %CPU
  0  0.0
  2  0.0
  2  0.0
  3  0.0
  0  0.0
  1  0.0
  3  0.0
  1  0.0
  3  0.0
PSR %CPU
  0  0.0
  3  0.0
  2  0.0
  3  0.0
  0  0.0
  1  0.0
  3  0.0
  1  0.0
  0  0.0
PSR %CPU
  0  0.0
  3  0.0
  2  0.0
  3  0.0
  1  0.0
  1  0.0
  3  0.0
  1  0.0
  0  0.0
PSR %CPU
  0  0.0
  3  0.0
  2  0.0
  3  0.0
  1  0.0
  1  0.0
  3  0.0
  2  0.0
  0  0.0
PSR %CPU
  0  0.0
  3  0.0
  3  0.0
  3  0.0
  1  0.0
  1  0.0
  0  0.0
  2  0.0
  0  0.0
PSR %CPU
  0  0.1
  3  0.0
  3  0.0
  3  0.0
  1  0.0
  1  0.0
  0  0.0
  2  0.0
  0  0.0
PSR %CPU
  0  0.2
  2  0.0
  3  0.0
  3  0.0
  1  0.0
  1  0.0
  0  0.0
  2  0.0
  0  0.0
PSR %CPU
  0  0.3
  2  0.0
  3  0.0
  3  0.0
  1  0.0
  1  0.0
  0  0.0
  2  0.0
  0  0.0
PSR %CPU
  0  0.5
  2  0.0
  3  0.0
  0  0.0
  1  0.0
  1  0.0
  1  0.0
  2  0.0
  1  0.0
PSR %CPU
  0  0.5
  0  0.0
  0  0.0
  0  0.0
  1  0.0
  1  0.0
  1  0.0
  2  0.0
  3  0.0
PSR %CPU
  0  0.7
  1  0.0
  1  0.0
  0  0.0
  1  0.0
  3  0.0
  3  0.0
  2  0.0
  3  0.0
PSR %CPU
  0  1.0
  1  0.0
  2  0.0
  2  0.0
  2  0.0
  0  0.0
  3  0.0
  2  0.0
  3  0.0
PSR %CPU
  0  1.1
  1  0.0
  2  0.0
  2  0.0
  2  0.0
