%CPU     %MEM    
0.0      0.0     
 0.0  0.0
%CPU     %MEM    
0.0      0.1     
 0.0  0.0
%CPU     %MEM    
0.0      0.1     
 0.0  0.1
%CPU     %MEM    
0.0      0.1     
 0.0  0.2
%CPU     %MEM    
6.7      0.3     
 0.1  0.3
%CPU     %MEM    
13.3     0.5     
 0.3  0.4
%CPU     %MEM    
60.0     0.6     
 0.5  0.6
%CPU     %MEM    
66.7     0.6     
 0.7  0.6
%CPU     %MEM    
40.0     0.7     
 0.9  0.7
%CPU     %MEM    
33.3     0.8     
 1.1  0.7
%CPU     %MEM    
26.7     0.8     
 1.3  0.7
%CPU     %MEM    
20.0     1.0     
 1.5  0.9
%CPU     %MEM    
73.3     1.1     
 1.8  1.1
%CPU     %MEM    
93.3     1.3     
 2.1  1.2
%CPU     %MEM    
66.7     1.4     
 2.3  1.3
%CPU     %MEM    
0.0      1.7     
 2.7  1.7
%CPU     %MEM    
0.0      1.7     
 3.2  1.7
%CPU     %MEM    
6.7      1.8     
 3.7  1.7
%CPU     %MEM    
100.0    1.8     
 4.2  1.7
%CPU     %MEM    
100.0    1.8     
 4.4  1.7
%CPU     %MEM    
6.7      1.8     
 4.7  1.7
%CPU     %MEM    
13.3     1.8     
 5.0  1.7
%CPU     %MEM    
6.7      1.8     
 5.2  1.7
%CPU     %MEM    
0.0      1.8     
 5.6  1.7
%CPU     %MEM    
81.2     1.9     
 6.2  1.9
%CPU     %MEM    
100.0    2.0     
 6.5  1.9
%CPU     %MEM    
0.0      2.3     
 6.9  2.3
%CPU     %MEM    
6.7      2.4     
 7.6  2.3
%CPU     %MEM    
100.0    2.4     
 8.0  2.4
%CPU     %MEM    
6.7      2.4     
 8.5  2.4
%CPU     %MEM    
6.7      2.4     
 9.0  2.4
%CPU     %MEM    
100.0    2.4     
 9.4  2.4
%CPU     %MEM    
20.0     2.5     
 9.6  2.5
%CPU     %MEM    
0.0      2.5     
10.3  2.5
%CPU     %MEM    
0.0      2.6     
10.6  2.5
%CPU     %MEM    
100.0    2.6     
10.8  2.5
%CPU     %MEM    
20.0     2.6     
11.0  2.6
%CPU     %MEM    
0.0      2.6     
11.5  2.6
%CPU     %MEM    
66.7     2.6     
11.9  2.6
%CPU     %MEM    
100.0    2.6     
12.0  2.6
%CPU     %MEM    
0.0      2.6     
12.3  2.6
%CPU     %MEM    
53.3     2.6     
12.9  2.6
%CPU     %MEM    
