%CPU     %MEM    
0.0      0.0     
 0.0  0.0
%CPU     %MEM    
0.0      0.1     
 0.0  0.0
%CPU     %MEM    
0.0      0.1     
 0.0  0.1
%CPU     %MEM    
0.0      0.1     
 0.0  0.1
%CPU     %MEM    
0.0      0.2     
 0.0  0.1
%CPU     %MEM    
13.3     0.4     
 0.0  0.4
%CPU     %MEM    
0.0      0.5     
 0.0  0.5
%CPU     %MEM    
0.0      0.6     
 0.0  0.5
%CPU     %MEM    
0.0      0.6     
 0.0  0.5
%CPU     %MEM    
26.7     0.7     
 0.0  0.7
%CPU     %MEM    
46.7     0.8     
 0.0  0.8
%CPU     %MEM    
26.7     0.8     
 0.0  0.8
%CPU     %MEM    
53.3     0.9     
 0.0  0.8
%CPU     %MEM    
60.0     1.0     
 0.0  0.9
%CPU     %MEM    
33.3     1.1     
 0.0  1.1
%CPU     %MEM    
13.3     1.2     
 0.1  1.2
%CPU     %MEM    
0.0      1.4     
 0.1  1.3
%CPU     %MEM    
0.0      1.7     
 0.1  1.6
%CPU     %MEM    
6.7      1.7     
 0.1  1.7
%CPU     %MEM    
106.7    1.8     
 0.1  1.8
%CPU     %MEM    
33.3     2.0     
 0.2  2.0
%CPU     %MEM    
6.7      2.2     
 0.2  2.1
%CPU     %MEM    
100.0    2.3     
 0.2  2.2
%CPU     %MEM    
100.0    2.7     
 0.2  2.6
%CPU     %MEM    
0.0      2.9     
 0.3  2.9
%CPU     %MEM    
100.0    3.1     
 0.3  3.0
%CPU     %MEM    
13.3     3.1     
 0.3  3.0
%CPU     %MEM    
93.3     3.1     
 0.4  3.1
%CPU     %MEM    
66.7     3.2     
 0.4  3.2
%CPU     %MEM    
100.0    3.2     
 0.4  3.2
%CPU     %MEM    
0.0      3.2     
 0.5  3.2
%CPU     %MEM    
13.3     3.2     
 0.5  3.2
%CPU     %MEM    
40.0     3.2     
 0.5  3.2
%CPU     %MEM    
100.0    3.2     
 0.5  3.2
%CPU     %MEM    
0.0      3.3     
 0.5  3.2
%CPU     %MEM    
0.0      3.3     
 0.6  3.2
%CPU     %MEM    
100.0    3.3     
 0.6  3.2
%CPU     %MEM    
20.0     3.7     
 0.6  3.6
%CPU     %MEM    
13.3     3.7     
 0.6  3.7
%CPU     %MEM    
93.8     3.7     
 0.7  3.7
%CPU     %MEM    
93.3     3.7     
 0.7  3.7
%CPU     %MEM    
0.0      3.7     
 0.7  3.7
