%CPU     %MEM    
0.0      0.0     
 0.0  0.0
%CPU     %MEM    
0.0      0.1     
 0.0  0.0
%CPU     %MEM    
0.0      0.1     
 0.0  0.1
%CPU     %MEM    
6.7      0.2     
 0.0  0.2
%CPU     %MEM    
26.7     0.2     
 0.1  0.2
%CPU     %MEM    
40.0     0.5     
 0.2  0.5
%CPU     %MEM    
0.0      0.7     
 0.4  0.6
%CPU     %MEM    
0.0      0.7     
 0.5  0.7
%CPU     %MEM    
0.0      0.7     
 0.6  0.7
%CPU     %MEM    
0.0      0.8     
 0.8  0.8
%CPU     %MEM    
13.3     0.9     
 0.9  0.9
%CPU     %MEM    
6.7      0.9     
 1.2  0.9
%CPU     %MEM    
0.0      1.0     
 1.3  0.9
%CPU     %MEM    
0.0      1.1     
 1.5  1.0
%CPU     %MEM    
20.0     1.1     
 1.7  1.0
%CPU     %MEM    
93.3     1.4     
 2.0  1.3
%CPU     %MEM    
86.7     1.6     
 2.2  1.6
%CPU     %MEM    
0.0      1.7     
 2.5  1.6
%CPU     %MEM    
6.7      1.9     
 2.8  1.8
%CPU     %MEM    
86.7     2.1     
 3.4  2.0
%CPU     %MEM    
100.0    2.2     
 3.6  2.2
%CPU     %MEM    
40.0     2.3     
 4.0  2.3
%CPU     %MEM    
146.7    2.6     
 4.7  2.6
%CPU     %MEM    
100.0    2.8     
 4.9  2.7
%CPU     %MEM    
0.0      2.8     
 5.4  2.8
%CPU     %MEM    
100.0    2.9     
 5.8  2.9
%CPU     %MEM    
6.7      3.0     
 6.3  3.0
%CPU     %MEM    
100.0    3.1     
 6.8  3.1
%CPU     %MEM    
0.0      3.1     
 7.0  3.1
%CPU     %MEM    
6.7      3.1     
 7.4  3.1
%CPU     %MEM    
53.3     3.1     
 7.7  3.1
%CPU     %MEM    
100.0    3.1     
 8.0  3.1
%CPU     %MEM    
0.0      3.1     
 8.2  3.1
%CPU     %MEM    
0.0      3.1     
 8.5  3.1
%CPU     %MEM    
20.0     3.1     
 8.8  3.1
%CPU     %MEM    
93.3     3.1     
 9.0  3.1
%CPU     %MEM    
0.0      3.1     
 9.1  3.1
%CPU     %MEM    
6.7      3.3     
 9.5  3.2
%CPU     %MEM    
93.3     3.4     
 9.8  3.3
%CPU     %MEM    
106.7    3.4     
 9.9  3.4
%CPU     %MEM    
0.0      3.6     
10.3  3.6
%CPU     %MEM    
100.0    3.6     
10.7  3.6
