%CPU     %MEM    
0.0      0.0     
 0.0  0.0
%CPU     %MEM    
0.0      0.2     
 0.1  0.2
%CPU     %MEM    
0.0      0.4     
 0.2  0.4
%CPU     %MEM    
6.7      0.6     
 0.3  0.6
%CPU     %MEM    
6.7      0.9     
 0.4  0.9
%CPU     %MEM    
0.0      2.1     
 0.6  2.1
%CPU     %MEM    
0.0      2.2     
 0.8  2.2
%CPU     %MEM    
20.0     3.3     
 1.0  3.2
%CPU     %MEM    
0.0      5.0     
 1.4  5.0
%CPU     %MEM    
46.7     6.7     
 2.0  6.9
%CPU     %MEM    
0.0      11.0    
 3.1 11.0
%CPU     %MEM    
0.0      11.0    
 3.8 11.0
%CPU     %MEM    
0.0      11.8    
 4.4 11.8
%CPU     %MEM    
12.5     11.8    
 4.8 11.8
%CPU     %MEM    
0.0      11.7    
 5.2 11.6
%CPU     %MEM    
13.3     11.7    
 5.6 11.6
%CPU     %MEM    
93.3     11.7    
 6.1  9.9
%CPU     %MEM    
100.0    11.4    
 6.6 11.4
%CPU     %MEM    
46.7     11.5    
 6.8 11.4
%CPU     %MEM    
0.0      12.3    
 7.2 12.3
%CPU     %MEM    
0.0      12.3    
 7.7 12.3
%CPU     %MEM    
0.0      12.3    
 8.0 12.3
%CPU     %MEM    
0.0      12.3    
 8.1 12.3
%CPU     %MEM    
0.0      12.3    
 8.4 12.3
%CPU     %MEM    
0.0      12.3    
 8.6 12.3
%CPU     %MEM    
0.0      12.3    
 8.8 12.3
%CPU     %MEM    
0.0      12.3    
 8.9 12.3
%CPU     %MEM    
0.0      12.3    
 8.8 12.3
%CPU     %MEM    
0.0      12.3    
 8.9 12.3
%CPU     %MEM    
6.7      12.3    
 9.2 12.3
%CPU     %MEM    
0.0      12.3    
 9.2 12.3
%CPU     %MEM    
0.0      12.3    
 9.3 12.3
%CPU     %MEM    
0.0      12.3    
 9.3 12.3
%CPU     %MEM    
20.0     12.3    
 9.4 12.3
%CPU     %MEM    
12.5     12.3    
 9.4 12.3
%CPU     %MEM    
18.8     12.5    
 9.6 12.4
%CPU     %MEM    
100.0    16.1    
10.7 17.3
%CPU     %MEM    
93.8     26.4    
12.9 27.4
%CPU     %MEM    
93.3     30.0    
14.6 29.9
%CPU     %MEM    
20.0     30.0    
14.9 29.9
%CPU     %MEM    
6.7      30.0    
15.6 29.9
%CPU     %MEM    
0.0      30.4    
16.4 30.3
