% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.97 3201.954007       18958    168895     52921 wait4
  1.76   59.214144           4  13959314   6905005 open
  1.08   36.541266           4   8502569      9365 read
  0.47   15.776723           2   7454008      7814 close
  0.43   14.362808           2   7137152           fstat
  0.19    6.419556           3   2124075           mmap
  0.19    6.291390          10    652236           write
  0.13    4.478607           5    859818           mprotect
  0.12    4.092373           5    897550    299923 stat
  0.11    3.714288          24    155037      1698 unlinkat
  0.07    2.246168          25     89049           openat
  0.07    2.222882           2   1386331           brk
  0.05    1.797087           2    822819     19589 lseek
  0.05    1.775273           5    353171    146178 access
  0.04    1.355555          10    136526           munmap
  0.03    1.069027           2    573435           rt_sigprocmask
  0.03    0.949598           1    784725           rt_sigaction
  0.03    0.894016           4    225012     24699 lstat
  0.02    0.809328           2    327115        99 fcntl
  0.01    0.499505           8     61710           getdents
  0.01    0.492903          19     25902           socket
  0.01    0.381866           6     60065           utimensat
  0.01    0.339818           5     63854      1698 newfstatat
  0.01    0.308931          12     25900     25886 connect
  0.01    0.302125          17     18017           statfs
  0.01    0.246127           2    157039           geteuid
  0.01    0.234003           2    150136           getuid
  0.01    0.231500           2    110550     30775 execve
  0.01    0.230569           2    150129           getgid
  0.01    0.230172           2    150130           getegid
  0.01    0.205239           2     93483           getrlimit
  0.01    0.199339           3     68701      9251 rt_sigreturn
  0.01    0.198617          29      6909         1 rename
  0.01    0.189837           3     72721         6 clone
  0.01    0.179928           3     52355     51863 ioctl
  0.00    0.158727          41      3831           mkdirat
  0.00    0.147160           2     79775           arch_prctl
  0.00    0.121471           3     41744           sysinfo
  0.00    0.108138           5     20036           pipe
  0.00    0.084302           5     16143           vfork
  0.00    0.064571           3     22405           getcwd
  0.00    0.058299           8      7418           chdir
  0.00    0.042593          10      4325           unlink
  0.00    0.032172           2     13718           getpgrp
  0.00    0.031644           1     51730           dup2
  0.00    0.031054           2     13765           uname
  0.00    0.029099           1     28010        32 setrlimit
  0.00    0.028732          30       943        68 mkdir
  0.00    0.028644           1     37224           set_robust_list
  0.00    0.027878           3      9249           getrusage
  0.00    0.027509           2     14957           getpid
  0.00    0.027132           2     15909           set_tid_address
  0.00    0.024567           2     13725           getppid
  0.00    0.023052           2     13824           dup
  0.00    0.018748           2      9429      2136 fadvise64
  0.00    0.005002          12       434           poll
  0.00    0.003404           8       429           chmod
  0.00    0.001666           2       810        20 futex
  0.00    0.001658           2       888           umask
  0.00    0.001570           1      1220        15 faccessat
  0.00    0.000967           2       573           mremap
  0.00    0.000919           3       271       124 recvmsg
  0.00    0.000688          25        27           symlinkat
  0.00    0.000656           8        82        17 recvfrom
  0.00    0.000633           6       110           writev
  0.00    0.000435           3       160           fstatfs
  0.00    0.000315           4        90           getrandom
  0.00    0.000312          13        24           pread64
  0.00    0.000303           7        44           sendto
  0.00    0.000265           6        48           sendmsg
  0.00    0.000174           8        23           pipe2
  0.00    0.000168          17        10         3 readlinkat
  0.00    0.000131          44         3           symlink
  0.00    0.000114          57         2           sendmmsg
  0.00    0.000112           4        31           fchdir
  0.00    0.000107          11        10           readlink
  0.00    0.000094           3        31           eventfd2
  0.00    0.000088          44         2           getsockopt
  0.00    0.000080           4        22           sched_getaffinity
  0.00    0.000076           2        34           gettid
  0.00    0.000067           2        31           sigaltstack
  0.00    0.000063          11         6           chown
  0.00    0.000047          12         4           nanosleep
  0.00    0.000023           2        12           prctl
  0.00    0.000021           5         4           pwrite64
  0.00    0.000020           7         3           shutdown
  0.00    0.000019           5         4           flock
  0.00    0.000019           1        18           getgroups
  0.00    0.000018           9         2           memfd_create
  0.00    0.000013           4         3           madvise
  0.00    0.000012           4         3           getsockname
  0.00    0.000012           6         2           ftruncate
  0.00    0.000010           3         4           clock_getres
  0.00    0.000008           3         3           getresuid
  0.00    0.000008           3         3           getresgid
  0.00    0.000005           1         5           getpeername
------ ----------- ----------- --------- --------- ----------------
100.00 3371.570369              48300083   7589186 total

real	21m22.341s
user	73m52.738s
sys	7m3.074s

