21411 ????( <detached ...>
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 77.21   57.105820      402154       142        38 wait4
  6.54    4.838719          35    137028           openat
  5.56    4.109253           6    632241           write
  3.26    2.413922          19    129461         1 unlinkat
  3.14    2.319162           6    379617         1 read
  1.04    0.768621           6    129456           utimensat
  0.92    0.681786           5    147784           close
  0.80    0.592517           4    139904           fstat
  0.50    0.366300          49      7516           mkdirat
  0.35    0.261283          11     22842           getdents
  0.31    0.229990           3     68017        11 fcntl
  0.15    0.114632           8     15085         1 newfstatat
  0.04    0.032376           9      3511       926 open
  0.04    0.029857           7      4579           mmap
  0.03    0.021428           7      2933       602 stat
  0.03    0.018733           6      3136           mprotect
  0.01    0.006740          17       406           poll
  0.01    0.006239           6       961       321 access
  0.01    0.005382           9       587           munmap
  0.00    0.003449           8       445        38 lstat
  0.00    0.003071           2      1231           rt_sigaction
  0.00    0.002681           3       769           brk
  0.00    0.002480          17       149         9 execve
  0.00    0.002413           3       820           rt_sigprocmask
  0.00    0.002224           3       801        19 futex
  0.00    0.001838           3       609           getuid
  0.00    0.001811           3       618           geteuid
  0.00    0.001798           3       602           getgid
  0.00    0.001788           3       609           getegid
  0.00    0.001044          19        54           socket
  0.00    0.000970           9       103           statfs
  0.00    0.000868           7       122        53 ioctl
  0.00    0.000835           3       271       124 recvmsg
  0.00    0.000788          15        52        38 connect
  0.00    0.000683           6       120           pipe
  0.00    0.000676           6       110           writev
  0.00    0.000629           3       198         9 lseek
  0.00    0.000610           8        73        17 recvfrom
  0.00    0.000560           4       140           arch_prctl
  0.00    0.000462           3       160           fstatfs
  0.00    0.000426           4       116           clone
  0.00    0.000418           2       169           getrlimit
  0.00    0.000385           5        76           sysinfo
  0.00    0.000303           4        79           uname
  0.00    0.000266           4        74           getpid
  0.00    0.000263           4        73           getpgrp
  0.00    0.000242           6        44           sendto
  0.00    0.000242           3        74           getppid
  0.00    0.000230           3        90           getrandom
  0.00    0.000214           4        48           sendmsg
  0.00    0.000213           1       181           dup2
  0.00    0.000167           4        38           rt_sigreturn
  0.00    0.000164           7        25           pipe2
  0.00    0.000151          22         7           chmod
  0.00    0.000117          15         8           readlink
  0.00    0.000117          29         4           symlinkat
  0.00    0.000111           5        24           pread64
  0.00    0.000110           2        66        32 setrlimit
  0.00    0.000106           3        31           eventfd2
  0.00    0.000085          21         4           unlink
  0.00    0.000079          40         2           getsockopt
  0.00    0.000078          11         7         6 faccessat
  0.00    0.000077           1       128           set_robust_list
  0.00    0.000071          36         2           sendmmsg
  0.00    0.000063           6        10           chdir
  0.00    0.000062          62         1           mkdir
  0.00    0.000047           1        50           set_tid_address
  0.00    0.000045           1        34           gettid
  0.00    0.000039          20         2           memfd_create
  0.00    0.000038           5         7           getcwd
  0.00    0.000035           7         5           nanosleep
  0.00    0.000033           3        12           prctl
  0.00    0.000026           3        10         3 readlinkat
  0.00    0.000018           5         4           flock
  0.00    0.000017           9         2           ftruncate
  0.00    0.000016           2         8           dup
  0.00    0.000013           3         5           getpeername
  0.00    0.000013           3         4           clock_getres
  0.00    0.000009           3         3           madvise
  0.00    0.000009           3         3           getresuid
  0.00    0.000008           3         3           shutdown
  0.00    0.000008           1         8           umask
  0.00    0.000007           2         3           getsockname
  0.00    0.000007           2         3           getresgid
  0.00    0.000006           2         4           pwrite64
  0.00    0.000003           2         2           sigaltstack
  0.00    0.000000           0         4           getrusage
------ ----------- ----------- --------- --------- ----------------
100.00   73.959595               1834819      2249 total

real	2m20.723s
user	1m59.726s
sys	0m27.845s

